account_id,month_in_areas,total_arrears_amount,ptp_broken,ptp_kept,call_successful,call_unsuccessful,score,score %,score_id,behavior
1700298,0,0.05,0,0,1,0,210.0,40.0,1.0,Confident
1700304,1,566.53,2,0,3,14,210.0,40.0,1.0,Confident
1700316,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1700330,0,94.86,0,0,0,2,210.0,40.0,1.0,Confident
1700331,1,1338.11,0,0,0,7,210.0,40.0,1.0,Confident
1700337,0,428.1,0,0,0,3,210.0,40.0,1.0,Confident
1700418,0,664.69,2,0,2,7,210.0,40.0,1.0,Confident
1700420,0,0.0,0,0,0,7,210.0,40.0,1.0,Confident
1700445,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
1700463,1,1243.37,0,0,1,12,210.0,40.0,1.0,Confident
1700472,0,296.77,1,0,1,9,210.0,40.0,1.0,Confident
1700522,1,844.54,0,0,0,8,210.0,40.0,1.0,Confident
1700538,3,13064.66,0,0,1,0,205.0,35.0,2.0,Potential Confident
1700557,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1700563,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700578,0,998.28,1,0,1,4,210.0,40.0,1.0,Confident
1700590,1,2661.85,3,0,3,5,210.0,40.0,1.0,Confident
1700626,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1700649,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1700680,0,0.0,1,0,1,6,210.0,40.0,1.0,Confident
1700743,0,0.15,0,0,1,6,210.0,40.0,1.0,Confident
1700745,0,313.23,1,0,2,7,210.0,40.0,1.0,Confident
1700823,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700861,1,1617.19,0,0,1,12,210.0,40.0,1.0,Confident
1700876,0,0.0,1,0,1,3,210.0,40.0,1.0,Confident
1700880,0,0.15,1,0,2,0,210.0,40.0,1.0,Confident
1700890,0,0.0,0,0,0,5,210.0,40.0,1.0,Confident
1700905,1,2565.71,1,1,2,13,210.0,40.0,1.0,Confident
1700927,0,573.11,1,0,2,3,210.0,40.0,1.0,Confident
1700938,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700941,1,551.13,0,0,0,1,210.0,40.0,1.0,Confident
1700945,0,334.42,0,0,1,8,210.0,40.0,1.0,Confident
1700955,0,66.02,3,0,3,2,210.0,40.0,1.0,Confident
1700961,1,1240.61,1,1,2,3,210.0,40.0,1.0,Confident
1700966,0,0.0,0,2,2,0,220.0,40.0,1.0,Confident
1700972,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700994,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1700998,1,3390.23,0,0,0,5,210.0,40.0,1.0,Confident
1701005,0,300.62,0,0,0,7,210.0,40.0,1.0,Confident
1701037,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1701041,0,0.0,0,0,1,8,210.0,40.0,1.0,Confident
1701043,0,0.0,0,0,0,1,210.0,40.0,1.0,Confident
1701069,1,885.68,0,0,0,15,210.0,40.0,1.0,Confident
1701100,0,0.0,0,0,0,6,210.0,40.0,1.0,Confident
1701135,2,1653.07,0,0,1,2,210.0,40.0,1.0,Confident
1701207,0,3.03,0,0,0,7,210.0,40.0,1.0,Confident
1701269,0,0.0,0,0,0,2,210.0,40.0,1.0,Confident
1701311,0,0.0,0,1,1,1,210.0,40.0,1.0,Confident
1701357,1,400.54,1,0,1,6,210.0,40.0,1.0,Confident
1701384,0,0.51,0,0,0,4,210.0,40.0,1.0,Confident
1701393,0,97.43,0,0,0,2,210.0,40.0,1.0,Confident
1701405,0,0.0,2,0,2,11,210.0,40.0,1.0,Confident
1701410,0,0.0,1,0,1,3,210.0,40.0,1.0,Confident
1701433,4,2264.18,0,0,2,0,205.0,35.0,2.0,Potential Confident
1701441,0,0.0,1,0,1,2,210.0,40.0,1.0,Confident
1701450,0,0.33,0,0,0,4,210.0,40.0,1.0,Confident
1701455,0,376.68,0,0,0,1,210.0,40.0,1.0,Confident
1701463,0,702.77,3,0,3,10,210.0,40.0,1.0,Confident
1701468,0,0.0,0,0,0,5,210.0,40.0,1.0,Confident
1701473,1,765.54,0,0,1,17,210.0,40.0,1.0,Confident
1701495,0,0.0,0,0,0,10,210.0,40.0,1.0,Confident
1701513,0,0.0,0,0,0,3,210.0,40.0,1.0,Confident
